adm2_code,adm1_name,adm2_name,population,density,coping:accessHealth,coping:communication,coping:drrImplementation,coping:economicCapacity,coping:education,coping:governance,coping:wash,hazard:coastalHazards,hazard:conflictIntensity,hazard:conflictRisk,hazard:drought,hazard:earthquake,hazard:environmentalDegradation,hazard:exposure,hazard:flood,hazard:hazardousMaterial,hazard:heatwave,hazard:internalViolence,hazard:landslide,hazard:lightning,hazard:stormsCyclone,hazard:vehicleAccidents,hazard:volcano,hazard:wildfire,hazard:zoonoses,vulnerability:childrenHealthNutrition,vulnerability:developmentPoverty,vulnerability:displacedPeople,vulnerability:economicDependency,vulnerability:habitat,vulnerability:healthConditions,vulnerability:livelihoods,hazard_total,vulnerability_total,coping_total,risk
TZ0801,Lindi,Kilwa,297676,19,4.96,7.85,6.5,9.4,6.2,3,6.6,7,0,0.7,5,0.4,4.35,1.94,7.5,4,5.8,5.2,4.4,2,8,,0,7.9,,5.875,8,0,3.133333333,5.05,4.7,0,3.7,3.8,5.9,4.4
TZ0802,Lindi,Lindi,174126,25,4.96,7.85,6.5,9.4,6.2,3,3.7,7,0,0.7,4.8,0.1,5,2.25,7.1,4,5.3,5.2,0.7,2,9,,0,7.9,,5.875,8,0,3.133333333,5.05,4.7,0,3.5,3.8,5.6,4.2
TZ0803,Lindi,Nachingwea,233655,42,4.96,7.85,6.5,9.4,6.2,3,5.1,0,0,0.7,3.5,0,3.95,2.89,4.6,,5.7,5.2,0,2,3,,0,7.9,,5.875,8,0,3.133333333,5.05,4.7,0,2.4,3.8,5.7,3.7
TZ0804,Lindi,Liwale,136505,4,4.96,7.85,6.5,9.4,6.2,3,6.8,0,0,0.7,3.6,0,3.55,0,7,,5.3,5.2,0,2,3,,0,7.9,,5.875,8,0,3.133333333,5.05,4.7,0,2.5,3.8,5.9,3.8
TZ0805,Lindi,Ruangwa,185573,72,4.96,7.85,6.5,9.4,6.2,3,5.3,0,0,0.7,4,0,4.1,3.56,4.5,,5,5.2,0,2,4,,0,7.9,,5.875,8,0,3.133333333,5.05,4.7,0,2.5,3.8,5.7,3.8
TZ0806,Lindi,Lindi Urban,,,4.96,7.85,6.5,9.4,6.2,3,7,7,0,0.7,0,0,4.95,,6.8,,,5.2,0,,0,,0,7.9,,5.875,8,0,3.133333333,5.05,4.7,0,2.5,3.8,6,3.8
TZ0901,Mtwara,Mtwara,305276,78,5.5,8.2,6.5,9.3,6.2,3.9,3.2,7,0,0.7,4.1,5.7,5.6,3.65,8.2,5,5.5,9.1,1.8,2,10,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,4.4,5.4,5.9,5.2
TZ0902,Mtwara,Newala,241288,124,5.5,8.2,6.5,9.3,6.2,3.9,4.7,0,0,0.7,2.2,0,5.1,4.22,4,,4.9,9.1,0,2,4,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,2.9,5.4,6,4.5
TZ0903,Mtwara,Masasi,452363,94,5.5,8.2,6.5,9.3,6.2,3.9,2.2,0,0,0.7,3.3,0,4.25,3.88,3.7,,5.4,9.1,0,2,4,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,3,5.4,5.8,4.5
TZ0904,Mtwara,Tandahimba,299073,143,5.5,8.2,6.5,9.3,6.2,3.9,4.2,0,0,0.7,2.4,0,5.15,4.39,4.9,,4.9,9.1,0,2,5,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,3,5.4,6,4.6
TZ0905,Mtwara,Mtwara Urban,,,5.5,8.2,6.5,9.3,6.2,3.9,7,7,0,0.7,0,10,5.1,,5.4,,,9.1,4.2,,0,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,3.7,5.4,6.3,5
TZ0906,Mtwara,Nanyumbu,204323,39,5.5,8.2,6.5,9.3,6.2,3.9,4.3,0,0,0.7,3.9,0,4,2.79,4.6,,6.1,9.1,0,2,3,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,3,5.4,6,4.6
TZ0907,Mtwara,Masasi  Township Authority,,,5.5,8.2,6.5,9.3,6.2,3.9,7,0,0,0.7,0,0,4.15,,0,,,9.1,0,,0,,0,5.5,,6.45,7.5,7.3,2.766666667,5.15,6,0,2.2,5.4,6.3,4.2
TZ1001,Ruvuma,Tunduru,412054,22,4.3,7.75,6.5,8.733333333,5.1,3.6,2.7,0,0,0.7,3.5,4,4.1,2.1,6,,4.9,5.3,0,3,0,,0,7.5,4,7.5,5.55,0,3.133333333,5.45,4.7,0,2.6,3.8,5.4,3.8
TZ1002,Ruvuma,Songea,464486,32,4.3,7.75,6.5,8.733333333,5.1,3.6,3.8,0,0,0.7,1.8,4,4.45,2.55,3.8,,3.6,5.3,5.9,3,0,,0,7.5,4,7.5,5.55,0,3.133333333,5.45,4.7,0,2.6,3.8,5.5,3.8
TZ1003,Ruvuma,Mbinga,444478,94,4.3,7.75,6.5,8.733333333,5.1,3.6,2.3,0,0,0.7,1.7,9.4,4.25,3.88,2.2,,3.5,5.3,7.8,3,0,,0,7.5,4,7.5,5.55,0,3.133333333,5.45,4.7,0,2.8,3.8,5.3,3.8
TZ1004,Ruvuma,Songea Urban,,,4.3,7.75,6.5,8.733333333,5.1,3.6,7,0,0,0.7,0,0,3.7,,0,,,5.3,3.6,,0,,0,7.5,,7.5,5.55,0,3.133333333,5.45,4.7,0,1.8,3.8,5.9,3.4
TZ1005,Ruvuma,Namtumbo,271368,12,4.3,7.75,6.5,8.733333333,5.1,3.6,6.7,0,0,0.7,2.4,4,3.7,1.39,1.9,,4.2,5.3,2.9,3,0,,0,7.5,4,7.5,5.55,0,3.133333333,5.45,4.7,0,2.4,3.8,5.8,3.8
TZ1006,Ruvuma,Nyasa,191193,59,4.3,7.75,6.5,8.733333333,5.1,3.6,6.6,0,0,0.7,0.8,9.9,4.55,3.31,4,,3.2,5.3,6.6,3,0,,0,7.5,4,7.5,5.55,0,3.133333333,5.45,4.7,0,2.8,3.8,5.8,4
TZ1101,Iringa,Iringa,517844,26,4.38,6.6,6.5,8.266666667,5,3.6,2.1,0,0,0.7,6.3,5,4.2,2.29,6.7,,5.5,2.2,5.1,4,0,3,0,6,4,9,5.325,0,3.033333333,5.55,4.4,0,2.8,4,5.2,3.9
TZ1102,Iringa,Mufindi,411325,50,4.38,6.6,6.5,8.266666667,5,3.6,2.4,0,0,0.7,4.1,5,6.2,3.1,3.6,,1,2.2,5.3,4,0,3,0,6,4,9,5.325,0,3.033333333,5.55,4.4,0,2.4,4,5.2,3.7
TZ1103,Iringa,Iringa Urban,,,4.38,6.6,6.5,8.266666667,5,3.6,7,0,0,0.7,0,0,1.9,,6.7,,,2.2,8.1,,0,,0,6,,9,5.325,0,3.033333333,5.55,4.4,0,1.8,4,5.7,3.4
TZ1104,Iringa,Kilolo,263559,29,4.38,6.6,6.5,8.266666667,5,3.6,4,0,0,0.7,3.8,5,5.4,2.41,4.2,,2.2,2.2,7.5,4,0,3,0,6,4,9,5.325,0,3.033333333,5.55,4.4,0,2.6,4,5.3,3.8
TZ1105,Iringa,Mafinga Township Authority,,,4.38,6.6,6.5,8.266666667,5,3.6,7,0,0,0.7,0,0,6.9,,0,,,2.2,0.1,,0,,0,6,,9,5.325,0,3.033333333,5.55,4.4,0,1.2,4,5.7,3
TZ1201,Mbeya,Chunya,344471,18,5.62,7.45,3,8.8,5.05,3.5,6.4,0,0,0.7,1.9,8,5.6,1.86,2.8,5,3.3,6.05,4.1,5,0,4,5,6.6,4,7.5,7.65,0,3.333333333,5.55,5,0,3.6,4.2,5,4.2
TZ1202,Mbeya,Mbeya,912862,305,5.62,7.45,3,8.8,5.05,3.5,2,0,0,0.7,1.5,10,5.2,5.32,1.2,4,1.6,6.05,8.5,5,0,5,5,6.6,4,7.5,7.65,0,3.333333333,5.55,5,0,3.7,4.2,4.6,4.2
TZ1203,Mbeya,Kyela,266426,338,5.62,7.45,3,8.8,5.05,3.5,5.6,0,0,0.7,2.2,10,4.75,5.45,10,,3.9,6.05,5,5,0,4,6,6.6,4,7.5,7.65,0,3.333333333,5.55,5,0,3.8,4.2,4.9,4.3
TZ1204,Mbeya,Rungwe,273536,129,5.62,7.45,3,8.8,5.05,3.5,3.1,0,0,0.7,0.5,10,5.5,4.26,3.6,,2,6.05,8.5,5,0,4,7,6.6,4,7.5,7.65,0,3.333333333,5.55,5,0,3.6,4.2,4.7,4.1
TZ1207,Mbeya,Mbarali,446336,34,5.62,7.45,3,8.8,5.05,3.5,2.9,0,0,0.7,3.9,8,3.8,2.62,8.4,,4.5,6.05,3.8,5,0,4,5,6.6,4,7.5,7.65,0,3.333333333,5.55,5,0,3.6,4.2,4.7,4.1
TZ1208,Mbeya,Mbeya Urban,,,5.62,7.45,3,8.8,5.05,3.5,7,0,0,0.7,0,10,5.25,,0,,,6.05,6.1,,0,,5,6.6,,7.5,7.65,0,3.333333333,5.55,5,0,3,4.2,5.1,4
TZ1301,Singida,Iramba,328912,73,6.4,7.75,6.5,9.3,5.6,3.55,5.5,0,0,0.7,7,10,2.7,3.57,6.2,,4.5,0,0,4,0,3,0,7.65,5,2.575,7,0,4.1,4.6,1.7,3.6,2.5,3.3,6,3.7
TZ1302,Singida,Singida,517354,161,6.4,7.75,6.5,9.3,5.6,3.55,3,0,0,0.7,8.7,10,3.3,4.54,4.3,,2.8,0,1.1,4,0,3,0,7.65,5,2.575,7,0,4.1,4.6,1.7,3.6,2.5,3.3,5.7,3.6
TZ1303,Singida,Manyoni,279069,10,6.4,7.75,6.5,9.3,5.6,3.55,4.3,0,0,0.7,7,9.2,3.6,1.1,7.4,,4.1,0,0.2,4,0,3,0,7.65,5,2.575,7,0,4.1,4.6,1.7,3.6,2.6,3.3,5.9,3.7
TZ1304,Singida,Singida Urban,,,6.4,7.75,6.5,9.3,5.6,3.55,7,0,0,0.7,7,10,3.3,,5.7,,,0,0,,0,,0,7.65,,2.575,7,0,4.1,4.6,1.7,3.6,2,3.3,6.2,3.4
TZ1305,Singida,Ikungi,411262,48,6.4,7.75,6.5,9.3,5.6,3.55,3.9,0,0,0.7,7,10,4.35,3.06,6.1,,3.9,0,0,4,0,3,0,7.65,5,2.575,7,0,4.1,4.6,1.7,3.6,2.6,3.3,5.8,3.7
TZ1306,Singida,Mkalama,255514,83,6.4,7.75,3.8,9.3,5.6,3.55,5.5,0,0,0.7,7,10,2.55,3.72,5.4,,3.8,0,0.3,4,0,3,0,7.65,5,2.575,7,0,4.1,4.6,1.7,3.6,2.5,3.3,5.3,3.5
TZ1401,Tabora,Nzega,699691,89,9.68,7.35,6.5,9.133333333,6.95,3.1,2.6,0,0,0.7,6.5,8.4,3.55,3.81,4.9,,4.7,4.9,0,5,0,,0,7.15,4,4.025,8.275,0,4.466666667,4.65,7.1,3.8,2.8,4.5,5.9,4.2
TZ1402,Tabora,Igunga,546204,77,9.68,7.35,6.5,9.133333333,6.95,3.1,3.6,0,0,0.7,6.5,10,2.45,3.64,6.6,,5.3,4.9,0,5,0,,0,7.15,4,4.025,8.275,0,4.466666667,4.65,7.1,3.8,3,4.5,6.1,4.4
TZ1403,Tabora,Uyui,562588,49,9.68,7.35,6.5,9.133333333,6.95,3.1,3.8,0,0,0.7,5.2,3.4,4.2,3.08,6.2,,4.6,4.9,0,5,0,,0,7.15,4,4.025,8.275,0,4.466666667,4.65,7.1,3.8,2.6,4.5,6.1,4.1
TZ1404,Tabora,Urambo,260322,48,9.68,7.35,6.5,9.133333333,6.95,3.1,6.6,0,0,0.7,4.3,0,3.9,3.05,2.9,,4.8,4.9,0,5,0,,0,7.15,4,4.025,8.275,0,4.466666667,4.65,7.1,3.8,2.3,4.5,6.4,4
TZ1405,Tabora,Sikonge,335686,13,9.68,7.35,6.5,9.133333333,6.95,3.1,5.9,0,0,0.7,4.3,0.1,3.25,1.42,4.3,,5,4.9,0,5,0,,0,7.15,4,4.025,8.275,0,4.466666667,4.65,7.1,3.8,2.4,4.5,6.3,4.1
TZ1406,Tabora,Tabora Urban,,,9.68,7.35,6.5,9.133333333,6.95,3.1,7,0,0,0.7,0.7,0,3.1,,3.1,,,4.9,0,,0,,0,7.15,,4.025,8.275,0,4.466666667,4.65,7.1,3.8,1.7,4.5,6.7,3.7
